query_patient_id,rank,old_source_slide,loo_source_slide,slide_match,old_source_patient,loo_source_patient,patient_match,old_patch_index,loo_patch_index,patch_index_match,old_x,loo_x,old_y,loo_y,coords_match,old_score,loo_score,score_match,rank_identical
TCGA-02-0003,1,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,True,TCGA-06-5856,TCGA-06-5856,True,256,256,True,40573,40573,14134,14134,True,0.8883638978004456,0.888363778591156,False,False
TCGA-02-0003,2,TCGA-12-0616-01Z-00-DX3.b426f381-b175-4a6d-957e-2dbfed42caeb,TCGA-12-0616-01Z-00-DX3.b426f381-b175-4a6d-957e-2dbfed42caeb,True,TCGA-12-0616,TCGA-12-0616,True,497,497,True,34571,34571,7685,7685,True,0.8877661824226379,0.8877661228179932,False,False
TCGA-02-0003,3,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,True,TCGA-06-5856,TCGA-06-5856,True,89,89,True,39156,39156,13957,13957,True,0.8817406892776489,0.8817405700683594,False,False
TCGA-02-0003,4,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,True,TCGA-DU-5852,TCGA-DU-5852,True,217,217,True,39060,39060,8973,8973,True,0.8809168338775635,0.8809168338775635,True,True
TCGA-02-0003,5,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,True,TCGA-06-5856,TCGA-06-5856,True,333,333,True,5104,5104,16023,16023,True,0.8787454962730408,0.878745436668396,False,False
TCGA-02-0003,6,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,True,TCGA-06-5856,TCGA-06-5856,True,223,223,True,40809,40809,14016,14016,True,0.877291202545166,0.8772909641265869,False,False
TCGA-02-0003,7,TCGA-06-0185-01Z-00-DX1.63a424a7-724c-45f4-9eee-c7fc1eda49a6,TCGA-06-0185-01Z-00-DX1.63a424a7-724c-45f4-9eee-c7fc1eda49a6,True,TCGA-06-0185,TCGA-06-0185,True,123,123,True,10557,10557,7704,7704,True,0.8768560290336609,0.8768559694290161,False,False
TCGA-02-0003,8,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,True,TCGA-DU-5852,TCGA-DU-5852,True,456,456,True,39871,39871,8792,8792,True,0.8767184019088745,0.8767183423042297,False,False
TCGA-02-0003,9,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,True,TCGA-DU-5852,TCGA-DU-5852,True,211,211,True,54288,54288,20516,20516,True,0.8762821555137634,0.8762822151184082,False,False
TCGA-02-0003,10,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,True,TCGA-06-5856,TCGA-06-5856,True,254,254,True,39097,39097,14488,14488,True,0.8762755393981934,0.8762754201889038,False,False
TCGA-02-0003,11,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,True,TCGA-06-5856,TCGA-06-5856,True,124,124,True,44881,44881,10652,10652,True,0.8759421110153198,0.8759421110153198,True,True
TCGA-02-0003,12,TCGA-12-0616-01Z-00-DX3.b426f381-b175-4a6d-957e-2dbfed42caeb,TCGA-12-0616-01Z-00-DX3.b426f381-b175-4a6d-957e-2dbfed42caeb,True,TCGA-12-0616,TCGA-12-0616,True,258,258,True,36303,36303,11930,11930,True,0.8755508661270142,0.8755507469177246,False,False
TCGA-02-0003,13,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,TCGA-06-5856-01Z-00-DX1.9ba8a585-af7f-48b6-8724-ad0f439f4e17,True,TCGA-06-5856,TCGA-06-5856,True,464,464,True,45117,45117,10888,10888,True,0.8750931620597839,0.8750931620597839,True,True
TCGA-02-0003,14,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,TCGA-DU-5852-01Z-00-DX1.2abc3f8e-6ed5-4526-80b4-d84dc4d983b8,True,TCGA-DU-5852,TCGA-DU-5852,True,123,123,True,42304,42304,20155,20155,True,0.8744544982910156,0.8744544982910156,True,True
TCGA-02-0003,15,TCGA-DB-5275-01Z-00-DX2.30F63FE2-C9CC-4BBA-B2AB-9D857898397E,TCGA-DB-5275-01Z-00-DX2.30F63FE2-C9CC-4BBA-B2AB-9D857898397E,True,TCGA-DB-5275,TCGA-DB-5275,True,406,406,True,14099,14099,18458,18458,True,0.8738659024238586,0.8738657236099243,False,False
TCGA-02-0003,16,TCGA-12-0616-01Z-00-DX3.b426f381-b175-4a6d-957e-2dbfed42caeb,TCGA-12-0616-01Z-00-DX3.b426f381-b175-4a6d-957e-2dbfed42caeb,True,TCGA-12-0616,TCGA-12-0616,True,68,68,True,32840,32840,13084,13084,True,0.8725579977035522,0.8725579380989075,False,False
